8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00139338359925972 - 0.0262591662581805i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0138644839399249 - 0.0192683263232205i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00265858868615467 + 0.00394899161016226i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00375918080454552 - 0.00929250594795926i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00239716367551712 + 0.0116570521134044i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00163909256635212 + 0.0389187898498532i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.000978331871691250 + 0.0270999443203503i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00307513210382726 + 0.0221568706793853i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.000408196061613337 - 0.00103123291757442i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00397482517521004 - 0.0240018740711083i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00746105842864619 + 0.00868375745352715i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00606483283104138 + 0.0119518602350787i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00655319162222370 - 0.0252065837609494i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00233410072190188 - 0.0104286009194430i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00648352271304756 + 0.0193881934267691i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0135909658923821 + 0.0109233518421037i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0241140089466620 - 0.0128691441230612i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0130234939588724 - 0.0241568373354454i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0145652067316038 - 0.000437426314066638i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0133417909181330 + 0.0158103243374118i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0115015231254886 - 0.00109507736414129i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0261647148891058 + 0.00303412296669181i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0197754427750846 - 0.000598387539753113i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00124882415823074 - 0.0249258941210666i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.000444598540681398 + 0.0105216128789417i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00557666550109611 + 0.0422451902657756i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0103659150588044 - 0.00433008914207517i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0197202845865831 - 0.0278583223070971i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0361993726741328 - 0.00727391038004033i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0152511568331221 - 0.00825152530132558i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00291767301678367 - 0.00607169835289922i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00699166411974242 + 0.00138178695478647i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0164937206029959 - 0.00894866125201525i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00541275778096912 - 0.00211961732728878i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00775156334123000 + 0.0173087997598794i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0205621819459168 + 0.0147245077604738i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00145968693105111 + 0.0101280946709052i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00838082047675178 + 0.0201668647458066i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.0371734994519450 + 0.0165940845405509i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0140344696389946 - 0.00794635405577480i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0368971187561274 - 0.0137973802041653i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00518874199247719 + 0.00597511967515721i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.0165622724232039 + 0.0134569757205817i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0305242685054642 + 0.00751309562884110i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00472265612971029 + 0.00172877257042239i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0196114407742351 - 0.00635650742554962i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00166437154590449 - 0.00959493790333766i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0202773535957990 - 0.0213516341447562i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0255061825226150 - 0.0354505597505782i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.000226437758279069 - 0.0149006692022111i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00885667427254973 + 0.00925809755853276i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00794242644431885 + 0.0105726088827770i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0208816457895298 + 0.00901954928485106i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0161459358199946 - 0.00703808167395349i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.000818328697658532 - 0.000121514636364621i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0168432259271844 + 0.0336792848134536i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0238861328965076 - 0.00253035497384394i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0148053915354038 - 0.0311600661608458i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00244272741036839 + 0.0345657658951155i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0280705089511945 + 0.0387071056793764i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.000662087507711561 - 0.0123607661462814i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.000293607230924189 + 0.0104928244029391i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0394822535406012 + 0.00765594907572232i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00648708724266254 - 0.0184071778321147i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00305447611591460 + 0.0270741586684250i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0207476114868424 + 0.0227701937495792i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0177888538509206 - 0.0297735007383073i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00828042630969545 - 0.0150338306802522i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0271126540889116 - 0.00662153010235628i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0154072864795411 + 0.00114865214849540i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00290002593084455 + 0.0484263456679648i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0404031093872910 + 0.0218205846465374i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00974042588093433 - 0.0247404154424094i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0290961825151604 + 0.00441219346169919i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00225324518045366 + 0.00167840564804329i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00775633461597112 - 0.0233904560023224i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00206104049878313 - 0.00277237189632829i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00967436240155055 - 0.0135562030127255i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00531176723033229 - 0.0321435489164882i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00172834138445702 - 0.00721186829601416i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00575048435571858 - 0.0123674993906198i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0208738458549479 - 0.0193831431930120i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00608608399012235 + 0.0225936863500280i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00977530453712560 + 0.0224981476225599i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00430829719265144 - 0.0231373490193284i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00996974801999154 - 0.0131903639629182i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00405275516006657 + 0.0211600598567104i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0110005254068721 + 0.00252405768881194i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0168746149550894 - 0.0123083485501124i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0334588664389365 + 0.0199796426579439i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0241294264929666 + 0.0215656720014314i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0120966163608996 - 0.00742194415051559i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00259477212352434 - 0.00532376058378688i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00300985363514214 + 0.00629648839248384i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00797251767269635 - 0.00145709407539084i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00647835319393281 - 0.00658865127388259i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00224704731438351 + 0.0100983755466908i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0107375525278659 - 0.00380328503043743i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00958437703242307 - 0.00779684126494446i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00191084655567698 + 0.0130804388769539i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0129483633999880 - 0.00524121014537328i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0114936564693276 - 0.00899117536206926i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00223013761863565 + 0.0149162656083345i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.0144415825185450 - 0.00543909306952817i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0118712717182791 - 0.0101830088091635i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00334919959745683 + 0.0153484809388375i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0150747176924763 - 0.00419094489979550i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0105180902488103 - 0.0113342028021519i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00529121531918696 + 0.0142241666349265i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0147407346007874 - 0.00146050812865674i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00741158826601964 - 0.0123526471100327i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00794108875986419 + 0.0115257855347255i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0133875241596799 + 0.00259643169412544i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00272779828377987 - 0.0131030150382780i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0110518875999356 + 0.00739123187348091i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0110382092512320 + 0.00763712305686129i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00316177080339989 - 0.0134309585681585i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0142749475745459 + 0.00211710135990257i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00780685838172546 + 0.0131657540073205i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00972090457962877 - 0.0131957875617927i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0172092353819394 - 0.00385881404824113i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.00390406635772580 + 0.0185927268908920i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.0163053857321964 - 0.0123045459129857i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0194618408048020 - 0.00999667745716618i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.000371827332942082 + 0.0233112632207266i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0222392918000333 - 0.0107397838373285i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0207092044070611 - 0.0157124615205742i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00465957244555515 + 0.0267799221274576i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0269006918280953 - 0.00857439146025908i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0207483546268632 - 0.0204477888365462i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00857430418274566 + 0.0285981285744297i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0298041976093261 - 0.00596940593431574i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0195291196560145 - 0.0237420941539666i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0117563798976387 + 0.0285625589055691i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0306675364175966 - 0.00315421136691047i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0171616867289222 - 0.0252960058769782i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0139221955166956 + 0.0266951512696636i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0294512614384977 - 0.000392282040132327i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.0138983536694649 - 0.0250153361782528i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0149081117922469 + 0.0232381116484686i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.0263646601991693 + 0.00206122074167323i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0100929908444143 - 0.0230275495223393i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0146990261739585 + 0.0186167582251347i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.0218362254963316 + 0.00400178504582809i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00614570207304770 - 0.0196667112469759i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0134352842769746 + 0.0133763976553651i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0164528019717322 + 0.00530938720277040i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.00244267840408300 - 0.0154280168037445i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.0113952029865499 + 0.00810368103881742i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0108766877380311 + 0.00596694612239923i
1.22474487139159 - 0.408248290463863i,,,,,,,,0.000698188200364284 - 0.0108981596353106i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00895482766006425 + 0.00334527329143577i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00575361229207142 + 0.00605951456084688i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00306680285076807 - 0.00667205131287831i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00653083054287940 - 0.000463231081505168i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00162595538195850 + 0.00575419212747270i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00457947790658928 - 0.00326893894396905i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00451581599903384 - 0.00304738469569399i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00113545606450483 + 0.00526466438588377i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00527482161153279 - 0.00106125382429819i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00321702559853676 - 0.00431619491727001i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00237094943341866 + 0.00480742869004854i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00528942480581830 - 0.000227467843855869i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00280913323458926 - 0.00435494666829305i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00213797299956723 + 0.00455849255235039i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00481953689957890 - 0.000736169766983334i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00330948391389764 - 0.00339195384693042i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.000684143287169339 + 0.00461925060577862i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00407720049040399 - 0.00236322676470521i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00458016276612126 - 0.00174691158756209i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00160645262067151 + 0.00499836337762179i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00324978855338808 - 0.00473824146912625i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00635641985175246 + 0.000228848404776820i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00428333728276714 + 0.00561315529362650i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00247052942200655 - 0.00741158826601964i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00829614932899142 + 0.00220931477234881i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.00690354761737881 + 0.00631000218151931i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00180476311596796 - 0.00993001414162052i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0100412636938921 + 0.00393855181137823i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00909693525617394 + 0.00689923207793898i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00125299804701554 - 0.0119077074502697i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.0112796701050816 + 0.00525696700472951i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.0106127717245685 + 0.00719704405725204i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.000768137647279908 - 0.0130810366885552i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0117965678252985 + 0.00610688289214911i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0113415846373147 + 0.00706549571145186i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.000281314306034359 - 0.0133385519053772i
0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0115059447983455 + 0.00651937077427694i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.0113110165486553 + 0.00644203424298064i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.000270788173886954 - 0.0127226422820718i
-0.408248290463863 - 0.408248290463863i,,,,,,,,-0.0104570357121004 + 0.00658771665697269i
-1.22474487139159 + 0.408248290463863i,,,,,,,,0.0106592520846504 + 0.00535227025386771i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.000924124657844512 - 0.0114045179699526i
-1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00881535196167989 + 0.00643490587042889i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00959330481440035 + 0.00390326052751824i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00167627306200734 - 0.00963892679371412i
-1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00682275578359650 + 0.00618280892718029i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00834153448260053 + 0.00225873496878247i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00248859629794719 - 0.00770834969068565i
-0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00474497794416757 + 0.00592938150281902i
1.22474487139159 + 0.408248290463863i,,,,,,,,0.00710987960827852 + 0.000601600683902269i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00330056448649561 - 0.00586776281133641i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00281721278676905 + 0.00573756207079261i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00604954801773390 - 0.000908139322843455i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00405210002250163 - 0.00430023306800738i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00119854901220147 + 0.00563632094592396i
0.408248290463863 - 0.408248290463863i,,,,,,,,0.00524078432226513 - 0.00217080394375451i
1.22474487139159 - 0.408248290463863i,,,,,,,,-0.00470768466724979 - 0.00309087953926348i
0.408248290463863 - 0.408248290463863i,,,,,,,,5.59862912359777e-05 + 0.00563124620900814i
-0.408248290463863 - 0.408248290463863i,,,,,,,,0.00469355964404390 - 0.00317137185207931i
0.408248290463863 + 0.408248290463863i,,,,,,,,-0.00527533452305190 - 0.00222270324892287i
0.408248290463863 + 0.408248290463863i,,,,,,,,0.00100065781477344 + 0.00571984083331867i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00436242981209787 - 0.00398494710513320i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00581456755498530 - 0.00159331183417957i
-1.22474487139159 - 0.408248290463863i,,,,,,,,0.00178101337285849 + 0.00590582968009729i
-0.408248290463863 + 0.408248290463863i,,,,,,,,0.00417012671937222 - 0.00476144951515057i
1.22474487139159 + 0.408248290463863i,,,,,,,,-0.00642995321397371 - 0.00104754715404892i
